ID;SINGER_ID;TITLE;RELEASE_DATE
1;1;titulo1;12/10/2008
2;1;titulo2;13/10/2008
3;14;titulo3;14/10/2008
4;4;titulo4;15/10/2008
5;5;titulo5;16/10/2008
6;17;titulo6;17/10/2008
7;14;titulo7;18/10/2008
8;3;titulo8;19/10/2008
9;2;titulo9;20/10/2008
10;14;titulo10;21/10/2008
11;13;titulo11;22/10/2008
12;8;titulo12;23/10/2008
13;10;titulo13;24/10/2008
14;4;titulo14;25/10/2008
15;8;titulo15;26/10/2008
16;2;titulo16;27/10/2008
17;10;titulo17;28/10/2008
18;10;titulo18;29/10/2008
19;1;titulo19;30/10/2008
20;9;titulo20;31/10/2008
21;12;titulo21;01/11/2008
22;10;titulo22;02/11/2008
23;2;titulo23;03/11/2008
24;19;titulo24;04/11/2008
25;14;titulo25;05/11/2008
26;17;titulo26;06/11/2008
27;8;titulo27;07/11/2008
28;5;titulo28;08/11/2008
29;19;titulo29;09/11/2008
30;2;titulo30;10/11/2008
31;11;titulo31;11/11/2008
32;19;titulo32;12/11/2008
33;5;titulo33;13/11/2008
34;15;titulo34;14/11/2008
35;8;titulo35;15/11/2008
36;6;titulo36;16/11/2008
37;18;titulo37;17/11/2008
38;19;titulo38;18/11/2008
39;16;titulo39;19/11/2008
40;6;titulo40;20/11/2008
41;8;titulo41;21/11/2008
42;14;titulo42;22/11/2008
43;18;titulo43;23/11/2008
44;9;titulo44;24/11/2008
45;7;titulo45;25/11/2008
46;2;titulo46;26/11/2008
47;2;titulo47;27/11/2008
48;18;titulo48;28/11/2008
49;13;titulo49;29/11/2008
50;14;titulo50;30/11/2008
51;1;titulo51;01/12/2008
52;15;titulo52;02/12/2008
53;7;titulo53;03/12/2008
54;3;titulo54;04/12/2008
55;18;titulo55;05/12/2008
56;4;titulo56;06/12/2008
57;10;titulo57;07/12/2008
58;15;titulo58;08/12/2008
59;2;titulo59;09/12/2008
60;6;titulo60;10/12/2008
61;5;titulo61;11/12/2008
62;18;titulo62;12/12/2008
63;1;titulo63;13/12/2008
64;19;titulo64;14/12/2008
65;18;titulo65;15/12/2008
66;2;titulo66;16/12/2008
67;4;titulo67;17/12/2008
68;9;titulo68;18/12/2008
69;12;titulo69;19/12/2008
70;17;titulo70;20/12/2008
71;11;titulo71;21/12/2008
72;8;titulo72;22/12/2008
73;15;titulo73;23/12/2008
74;18;titulo74;24/12/2008
75;8;titulo75;25/12/2008
76;8;titulo76;26/12/2008
77;4;titulo77;27/12/2008
78;18;titulo78;28/12/2008
79;18;titulo79;29/12/2008
80;18;titulo80;30/12/2008
81;8;titulo81;31/12/2008
